ProductID,ProductName,Category,UnitPrice,ProductDiscountPercent,ProductSupplierRegion
2000.0,electronics-be,electronics,969.31,12.5,west
2001.0,electronics-be,clothing,412.35,5.0,east
2002.0,office-family,clothing,866.0,8.0,central
2003.0,electronics-training,clothing,385.18,15.0,south
2004.0,office-where,home,927.25,10.0,west
2005.0,office-huge,home,428.78,7.5,east
2006.0,office-class,clothing,198.0,9.0,central
2007.0,clothing-over,electronics,583.39,11.0,south
2008.0,electronics-skin,home,66.59,6.5,west
2009.0,office-raise,clothing,66.31,4.0,east
2010.0,electronics-themselves,clothing,77.84,13.0,south
2011.0,electronics-religious,clothing,409.74,10.5,central
2012.0,clothing-artist,electronics,623.19,5.0,east
2013.0,office-cultural,home,935.36,8.5,north
2014.0,clothing-eat,home,246.3,9.5,west
2015.0,office-itself,clothing,674.97,6.0,east
2016.0,home-he,office,323.02,12.0,central
2017.0,electronics-feeling,electronics,463.7,4.5,south
2018.0,electronics-nature,electronics,542.26,11.5,west
2019.0,home-history,clothing,933.93,7.0,east
2020.0,unknown,clothing,375.83,9.0,central
2021.0,clothing-skill,office,835.41,5.5,south
2022.0,home-economy,electronics,671.18,8.0,north
2023.0,home-yeah,electronics,939.54,10.0,west
2024.0,clothing-paper,home,124.27,6.5,east
2025.0,electronics-assume,clothing,279.62,7.5,central
2026.0,clothing-use,home,211.56,14.0,south
2027.0,home-purpose,office,258.61,9.0,north
2028.0,electronics-take,electronics,637.94,5.0,east
2029.0,home-yourself,electronics,13.51,10.5,central
2030.0,clothing-first,home,169.97,11.0,west
2031.0,office-develop,office,565.3,12.5,south
2032.0,electronics-there,electronics,945.6,8.0,north
2033.0,clothing-argue,electronics,836.25,6.0,central
2034.0,clothing-feel,office,136.17,9.5,west
2035.0,home-according,home,899.99,7.5,east
2036.0,electronics-candidate,home,217.98,13.0,south
2037.0,clothing-meeting,electronics,360.14,10.0,west
2038.0,office-soon,clothing,926.51,8.5,central
2039.0,clothing-need,clothing,976.44,6.0,east
2040.0,clothing-determine,office,34.54,9.0,south
2041.0,home-assume,office,804.21,5.5,west
2042.0,clothing-lawyer,home,-167.61,10.0,north
2043.0,electronics-practice,office,873.45,11.5,central
2044.0,office-society,clothing,207.58,8.0,south
2045.0,office-next,home,312.14,6.5,east
2046.0,clothing-worry,clothing,33.43,12.0,west
2047.0,clothing-hair,office,-334.98,9.0,central
2048.0,electronics-candidate,home,357.63,7.0,north
2049.0,office-easy,home,939.84,8.5,east
2050.0,electronics-young,home,186.78,10.5,south
2051.0,home-century,electronics,117.32,5.0,west
2052.0,office-year,home,731.26,6.5,central
2053.0,home-ground,office,610.15,9.0,north
2054.0,electronics-above,office,9006578.51,7.5,east
2055.0,clothing-politics,home,53.94,11.0,west
2056.0,office-about,electronics,524.72,8.0,south
2057.0,clothing-identify,home,436.98,12.5,central
2058.0,home-wear,home,666.75,9.0,north
2059.0,electronics-clear,home,512.05,5.5,west
2060.0,office-term,home,408.38,10.0,south
2061.0,home-quite,clothing,199.92,6.0,central
2062.0,office-receive,clothing,619.36567867,7.0,east
2063.0,home-good,office,552.46,8.0,west
2064.0,electronics-stop,home,294.04,11.0,south
2065.0,office-animal,home,470.34,5.0,central
2066.0,office-occur,clot,unknown,unknown,unknown
2067.0,clothing-remain,electronics,290.95,7.5,west
2068.0,home-read,electronics,820.24,8.5,north
2069.0,clothing-garden,home,232.39,10.0,south
2070.0,clothing-about,clothing,34.18,12.0,east
2071.0,clothing-success,office,615.16,6.0,west
2072.0,electronics-become,office,420.3,9.0,central
2073.0,clothing-executive,office,499567867.43,8.5,south
2074.0,clothing-strong,clothing,659.5,11.5,east
2075.0,unknown,electronics,780.64,7.0,north
2076.0,clothing-affect,clothing,806.07,5.5,west
unknown,office-ball,electronics,561.83,10.0,south
2078.0,electronics-film,office,142.01,6.5,central
2079.0,office-who,home,950.54,9.0,east
2080.0,office-doctor,office,832.26,8.0,west
2081.0,office-light,clothing,746.22,7.5,south
2082.0,office-figure,office,266.6,10.5,north
2083.0,clothing-cut,home,768.16,9.0,east
2084.0,office-stuff,clothing,281.85,5.0,west
2085.0,electronics-officer,home,242.15,12.0,south
2086.0,home-of,home,894.1,6.5,central
2087.0,electronics-rather,clothing,159.32,9.5,east
2088.0,office-evening,clothing,709.35,8.5,north
2089.0,electronics-action,office,413.52,10.0,west
2090.0,office-staff,office,71.64,7.0,east
2091.0,office-mrs,office,905.79,6.0,south
2092.0,electronics-add,office,482.21,11.0,central
2093.0,home-real,home,755.94,8.0,west
2094.0,office-fight,clothing,493.35,5.5,north
2095.0,home-seem,office,490.79,10.5,east
2096.0,office-discuss,home,6725678.18,9.0,west
2097.0,office-recent,clothing,842.1,12.5,south
2098.0,clothing-trouble,electronics,907.86,7.0,central
2099.0,electronics-several,electronics,646.32,8.0,east
unknown,unknown,unknown,unknown,unknown,unknown
