TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,SalePaymentType
1,5/4/2025,1034,2059.0,402.0,0.0,2048.2,7.49,debitcard
2,5/4/2025,1066,2048.0,403.0,1.0,321.87,19.01,cash
3,5/4/2025,1116,2041.0,403.0,3.0,3216.84,14.64,creditcard
4,5/4/2025,1071,2096.0,404.0,2.0,1613.23,11.97,creditcard
5,5/4/2025,1020,2060.0,401.0,0.0,408.38,3.12,giftcard
6,5/4/2025,1089,2028.0,401.0,0.0,1275.88,3.12,debitcard
7,5/4/2025,1193,2003.0,402.0,1.0,346.66,1.16,debitcard
8,5/4/2025,1005,2079.0,402.0,1.0,855.49,17.32,cash
9,5/4/2025,1032,2060.0,401.0,1.0,735.08,12.02,debitcard
10,5/4/2025,1119,2089.0,403.0,2.0,661.63,14.16,giftcard
11,5/4/2025,1042,2077.0,401.0,unknown,505.65,0.41,giftcard
12,5/4/2025,1079,2013.0,401.0,2.0,0,19.4,cash
13,5/4/2025,1147,2086.0,404.0,3.0,4470.5,16.65,giftcard
14,5/4/2025,1183,2025.0,401.0,1.0,503.32,4.25,creditcard
15,5/4/2025,1026,2089.0,403.0,0.0,413.52,3.64,creditcard
16,5/4/2025,1144,2005.0,403.0,3.0,1715.12,3.67,giftcard
17,5/4/2025,1169,2047.0,401.0,2.0,535.97,6.08,unknown
18,5/4/2025,1003,2053.0,404.0,0.0,3660.9,10.5,debitcard
19,5/4/2025,1110,2046.0,404.0,1.0,30.09,8.64,cash
20,5/4/2025,1111,2022.0,403.0,3.0,671.18,5.82,debitcard
21,5/4/2025,1119,2055.0,403.0,2.0,?,12.24,giftcard
22,5/4/2025,1062,unknown,403.0,3.0,1229.22,2.79,giftcard
23,5/4/2025,1062,2096.0,404.0,3.0,672.18,5.84,creditcard
24,5/4/2025,1086,2003.0,404.0,2.0,924.43,7.33,debitcard
25,5/4/2025,1046,2062.0,402.0,2.0,1981.95,9.12,cash
26,5/4/2025,1066,2043.0,403.0,2.0,698.76,15.7,giftcard
27,5/4/2025,1142,2001.0,402.0,0.0,1237.05,3.99,cash
28,5/4/2025,1061,2092.0,404.0,3.0,482.21,10.28,creditcard
29,5/4/2025,1142,2097.0,402.0,3.0,4210.5,11.85,debitcard
30,5/4/2025,1165,2091.0,404.0,3.0,4528.95,0.93,debitcard
31,2023-13-01,1004,2011.0,403.0,1.0,737.53,12.15,giftcard
32,5/4/2025,1103,2088.0,402.0,2.0,0,3.41,debitcard
33,5/4/2025,1169,2074.0,403.0,3.0,0,1.3,giftcard
34,5/4/2025,1141,2067.0,403.0,3.0,872.85,18.98,creditcard
35,5/4/2025,1190,2070.0,403.0,2.0,54.69,19.31,debitcard
36,5/4/2025,1179,2058.0,403.0,2.0,1066.8,16.17,giftcard
37,5/4/2025,1064,2029.0,401.0,1.0,12.16,6.09,cash
38,5/4/2025,1080,2015.0,402.0,1.0,3037.36,1.95,giftcard
39,5/4/2025,1055,2094.0,404.0,2.0,1578.72,13.68,debitcard
40,5/4/2025,1185,2075.0,403.0,0.0,0,8.8,creditcard
41,5/4/2025,9999,2037.0,402.0,2.0,288.11,2.44,debitcard
42,5/4/2025,1045,2038.0,401.0,1.0,1667.72,9.9,debitcard
43,5/4/2025,1070,2005.0,401.0,2.0,686.05,0.69,giftcard
44,5/4/2025,1178,2016.0,404.0,0.0,0,18.19,cash
45,5/4/2025,1003,2073.0,403.0,3.0,1498.29,5.18,debitcard
46,5/4/2025,1122,2056.0,403.0,1.0,944.5,13.25,cash
47,5/4/2025,1013,2032.0,404.0,0.0,2836.8,6.23,giftcard
48,5/4/2025,1016,2051.0,404.0,0.0,117.32,10.4,cash
49,5/4/2025,1147,2080.0,401.0,1.0,0,10.93,giftcard
50,5/4/2025,1038,2072.0,403.0,0.0,840.6,3.7,creditcard
51,5/4/2025,1063,2015.0,404.0,1.0,1214.95,19.39,cash
52,5/4/2025,1198,2066.0,404.0,3.0,516.06,15.5,cash
53,5/4/2025,1113,2038.0,404.0,2.0,2223.62,18.79,creditcard
54,5/4/2025,1145,2079.0,401.0,0.0,1901.08,17.9,cash
55,5/4/2025,1195,2026.0,402.0,2.0,507.74,11.96,creditcard
56,5/4/2025,1169,2010.0,402.0,1.0,140.11,18.44,debitcard
57,5/4/2025,1044,2070.0,401.0,1.0,0,1.77,giftcard
58,5/4/2025,1000,2052.0,404.0,3.0,2193.78,3.92,unknown
59,5/4/2025,1074,2004.0,402.0,2.0,741.8,0.9,cash
60,5/4/2025,1180,2036.0,404.0,0.0,217.98,6.51,creditcard
61,5/4/2025,1175,2029.0,403.0,1.0,36.48,7.77,cash
62,5/4/2025,1108,2014.0,402.0,1.0,221.67,5.43,debitcard
63,5/4/2025,1068,2018.0,401.0,0.0,2169.04,16.57,creditcard
64,5/4/2025,1042,2039.0,403.0,3.0,2929.32,7.14,debitcard
65,5/4/2025,1031,2059.0,403.0,3.0,0,5.62,giftcard
66,5/4/2025,1069,2064.0,404.0,3.0,1470.2,10.85,cash
67,5/4/2025,1020,2076.0,401.0,3.0,4836.42,2.82,cash
68,5/4/2025,1188,2041.0,403.0,0.0,1608.42,16.04,debitcard
69,5/4/2025,1023,2029.0,401.0,2.0,0,1.49,giftcard
70,5/4/2025,1147,2005.0,402.0,3.0,0,19.74,creditcard
71,5/4/2025,1132,2083.0,404.0,2.0,614.53,15.44,creditcard
72,5/4/2025,1046,2074.0,404.0,3.0,659.5,3.97,cash
73,5/4/2025,1023,2060.0,403.0,3.0,1225.14,0.11,debitcard
74,5/4/2025,1085,2041.0,401.0,1.0,1447.58,16.31,debitcard
75,5/4/2025,1084,2052.0,404.0,2.0,2925.04,14.14,creditcard
76,5/4/2025,1169,2051.0,401.0,3.0,117.32,14.58,giftcard
77,5/4/2025,1022,2040.0,403.0,2.0,55.26,15.43,giftcard
78,5/4/2025,1029,2098.0,404.0,0.0,3631.44,1.48,creditcard
79,5/4/2025,1168,2069.0,404.0,3.0,232.39,7.17,creditcard
80,5/4/2025,1013,2024.0,403.0,3.0,372.81,2.32,debitcard
81,5/4/2025,1160,2056.0,401.0,1.0,472.25,17.26,giftcard
82,5/4/2025,1068,2070.0,402.0,2.0,109.38,12.47,creditcard
83,5/4/2025,1112,2089.0,404.0,0.0,2067.6,6.62,creditcard
84,5/4/2025,1007,2080.0,402.0,1.0,1498.07,1.27,cash
85,5/4/2025,1079,2070.0,401.0,3.0,34.18,6.22,creditcard
86,5/4/2025,1023,2028.0,401.0,3.0,2551.76,6.5,creditcard
87,5/4/2025,1030,2082.0,402.0,3.0,799.8,14.59,giftcard
88,5/4/2025,1183,2037.0,403.0,3.0,2160.84,12.75,debitcard
89,5/4/2025,1123,2060.0,402.0,3.0,2450.28,17.74,giftcard
