TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,SalePaymentType
1,2025-05-04 00:00:00.000000,1034,2059.0,402.0,0,2048.2,7.49,DebitCard
2,2025-05-04 00:00:00.000000,1066,2048.0,403.0,1,321.87,19.01,Cash
3,2025-05-04 00:00:00.000000,1116,2041.0,403.0,3,3216.84,14.64,CreditCard
4,2025-05-04 00:00:00.000000,1071,2096.0,404.0,2,1613.23,11.97,CreditCard
5,2025-05-04 00:00:00.000000,1020,2060.0,401.0,0,408.38,3.12,GiftCard
6,2025-05-04 00:00:00.000000,1089,2028.0,401.0,0,1275.88,3.12,DebitCard
7,2025-05-04 00:00:00.000000,1193,2003.0,402.0,1,346.66,1.16,DebitCard
8,2025-05-04 00:00:00.000000,1005,2079.0,402.0,1,855.49,17.32,Cash
9,2025-05-04 00:00:00.000000,1032,2060.0,401.0,1,735.08,12.02,DebitCard
10,2025-05-04 00:00:00.000000,1119,2089.0,403.0,2,661.63,14.16,GiftCard
11,2025-05-04 00:00:00.000000,1042,2077.0,401.0,0,505.65,0.41,GiftCard
12,2025-05-04 00:00:00.000000,1079,2013.0,401.0,2,0.0,19.4,Cash
13,2025-05-04 00:00:00.000000,1147,2086.0,404.0,3,4470.5,16.65,GiftCard
14,2025-05-04 00:00:00.000000,1183,2025.0,401.0,1,503.32,4.25,CreditCard
15,2025-05-04 00:00:00.000000,1026,2089.0,403.0,0,413.52,3.64,CreditCard
16,2025-05-04 00:00:00.000000,1144,2005.0,403.0,3,1715.12,3.67,GiftCard
17,2025-05-04 00:00:00.000000,1169,2047.0,401.0,2,535.97,6.08,Other
18,2025-05-04 00:00:00.000000,1003,2053.0,404.0,0,3660.9,10.5,DebitCard
19,2025-05-04 00:00:00.000000,1110,2046.0,404.0,1,30.09,8.64,Cash
20,2025-05-04 00:00:00.000000,1111,2022.0,403.0,3,671.18,5.82,DebitCard
22,2025-05-04 00:00:00.000000,1062,0.0,403.0,3,1229.22,2.79,GiftCard
23,2025-05-04 00:00:00.000000,1062,2096.0,404.0,3,672.18,5.84,CreditCard
24,2025-05-04 00:00:00.000000,1086,2003.0,404.0,2,924.43,7.33,DebitCard
25,2025-05-04 00:00:00.000000,1046,2062.0,402.0,2,1981.95,9.12,Cash
26,2025-05-04 00:00:00.000000,1066,2043.0,403.0,2,698.76,15.7,GiftCard
27,2025-05-04 00:00:00.000000,1142,2001.0,402.0,0,1237.05,3.99,Cash
28,2025-05-04 00:00:00.000000,1061,2092.0,404.0,3,482.21,10.28,CreditCard
29,2025-05-04 00:00:00.000000,1142,2097.0,402.0,3,4210.5,11.85,DebitCard
30,2025-05-04 00:00:00.000000,1165,2091.0,404.0,3,4528.95,0.93,DebitCard
