TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,SalePaymentType
1,5/4/2025,1034,2059,402,0,2048.2,7.49,DebitCard
2,5/4/2025,1066,2048,403,1,321.87,19.01,Cash
3,5/4/2025,1116,2041,403,3,3216.84,14.64,CreditCard
4,5/4/2025,1071,2096,404,2,1613.23,11.97,CreditCard
5,5/4/2025,1020,2060,401,0,408.38,3.12,GiftCard
6,5/4/2025,1089,2028,401,0,1275.88,3.12,DebitCard
7,5/4/2025,1193,2003,402,1,346.66,1.16,DebitCard
8,5/4/2025,1005,2079,402,1,855.49,17.32,Cash
9,5/4/2025,1032,2060,401,1,735.08,12.02,DebitCard
10,5/4/2025,1119,2089,403,2,661.63,14.16,GiftCard
11,5/4/2025,1042,2077,401,,505.65,0.41,GiftCard
12,5/4/2025,1079,2013,401,2,0,19.4,Cash
13,5/4/2025,1147,2086,404,3,4470.5,16.65,GiftCard
14,5/4/2025,1183,2025,401,1,503.32,4.25,CreditCard
15,5/4/2025,1026,2089,403,0,413.52,3.64,CreditCard
16,5/4/2025,1144,2005,403,3,1715.12,3.67,GiftCard
17,5/4/2025,1169,2047,401,2,535.97,6.08,Cash
18,5/4/2025,1003,2053,404,0,3660.9,10.5,DebitCard
19,5/4/2025,1110,2046,404,1,30.09,8.64,Cash
20,5/4/2025,1111,2022,403,3,671.18,5.82,DebitCard
21,5/4/2025,1119,2055,403,2,?,12.24,GiftCard
22,5/4/2025,1062,2011,403,3,1229.22,2.79,GiftCard
23,5/4/2025,1062,2096,404,3,672.18,5.84,CreditCard
24,5/4/2025,1086,2003,404,2,924.43,7.33,DebitCard
25,5/4/2025,1046,2062,402,2,1981.95,9.12,Cash
26,5/4/2025,1066,2043,403,2,698.76,15.7,GiftCard
27,5/4/2025,1142,2001,402,0,1237.05,3.99,Cash
28,5/4/2025,1061,2092,404,3,482.21,10.28,CreditCard
29,5/4/2025,1142,2097,402,3,4210.5,11.85,DebitCard
30,5/4/2025,1165,2091,404,3,4528.95,0.93,DebitCard
31,2023-13-01,1004,2011,403,1,737.53,12.15,GiftCard
32,5/4/2025,1103,2088,402,2,0,3.41,DebitCard
33,5/4/2025,1169,2074,403,3,0,1.3,GiftCard
34,5/4/2025,1141,2067,403,3,872.85,18.98,CreditCard
35,5/4/2025,1190,2070,403,2,54.69,19.31,DebitCard
36,5/4/2025,1179,2058,403,2,1066.8,16.17,GiftCard
37,5/4/2025,1064,2029,401,1,12.16,6.09,Cash
38,5/4/2025,1080,2015,402,1,3037.36,1.95,GiftCard
39,5/4/2025,1055,2094,404,2,1578.72,13.68,DebitCard
40,5/4/2025,1185,2075,403,0,0,8.8,CreditCard
41,5/4/2025,9999,2037,402,2,288.11,2.44,DebitCard
42,5/4/2025,1045,2038,401,1,1667.72,9.9,DebitCard
43,5/4/2025,1070,2005,401,2,686.05,0.69,GiftCard
44,5/4/2025,1178,2016,404,0,0,18.19,Cash
